SampleName,SampleID,Location,CollectionDate,HempType
rps-A,A,LocationA,Early,Fiber
rps-B,B,LocationA,Middle,Fiber
rps-C,C,LocationA,Late,Fiber
rps-D,D,LocationA,Late,Fiber
rps-E,E,LocationB1,Early,Fiber
rps-F,F,LocationB1,Middle,Fiber
rps-G,G,LocationB1,Late,Fiber
rps-H,H,LocationE,Early,CBD
rps-I,I,LocationE,Middle,CBD
rps-J,J,LocationD,Early,CBD
rps-K,K,LocationD,Middle,CBD
rps-L,L,LocationC,Early,CBD
rps-M,M,LocationC,Middle,CBD
rps-N,N,LocationB2,Early,Fiber
rps-O,O,LocationB2,Middle,Fiber
rps-P,P,LocationB2,Late,Fiber
rps-Q,Q,Mock-Match,Mock,Mock
rps-R,R,Mock-Mismatch,Mock,Mock